timestamp,agent.name,rule.description,rule.level,rule.id
"Jun 16, 2025 @ 06:00:03.120",hera2,PAM: Login session closed.,3,5502
"Jun 16, 2025 @ 06:00:03.125",hera.ugr.es,Auditd: SELinux permission check.,3,80730
"Jun 16, 2025 @ 06:00:03.304",hera.ugr.es,sshd: authentication success.,3,5715
"Jun 16, 2025 @ 05:00:03.320",hera.ugr.es,Auditd: SELinux permission check.,3,80730
"Jun 16, 2025 @ 05:00:03.473",hera.ugr.es,sshd: authentication success.,3,5715
"Jun 16, 2025 @ 05:30:02.402",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 05:30:03.348",hera2,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 05:30:03.348",hera2,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 06:05:03.348",hera2,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 06:05:03.392",hera2,PAM: Login session closed.,3,5502
"Jun 16, 2025 @ 05:10:02.064",hera2,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 05:05:03.678",hera2,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 05:00:05.341",hera.ugr.es,PAM: Login session closed.,3,5502
"Jun 16, 2025 @ 07:00:04.850",hera.ugr.es,PAM: Login session closed.,3,5502
"Jun 16, 2025 @ 06:30:13.988",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 06:30:13.987",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 09:00:03.643",hera2,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 09:00:03.645",hera2,PAM: Login session closed.,3,5502
"Jun 16, 2025 @ 09:00:04.407",hera.ugr.es,sshd: authentication success.,3,5715
"Jun 16, 2025 @ 10:00:02.597",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 10:00:02.605",hera.ugr.es,sshd: authentication success.,3,5715
"Jun 16, 2025 @ 09:35:01.958",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 09:30:05.421",hera.ugr.es,PAM: Login session closed.,3,5502
"Jun 16, 2025 @ 09:05:01.957",hera2,PAM: Login session closed.,3,5502
"Jun 16, 2025 @ 09:04:47.485",clavo.ugr.es,ClamAV database update,3,52507
"Jun 16, 2025 @ 09:19:04.838",Siem,Host-based anomaly detection event (rootcheck).,7,510
"Jun 16, 2025 @ 09:19:04.841",Siem,Host-based anomaly detection event (rootcheck).,7,510
"Jun 16, 2025 @ 09:19:05.232",Siem,Host-based anomaly detection event (rootcheck).,7,510
"Jun 16, 2025 @ 09:28:36.012",clavo.ugr.es,Host-based anomaly detection event (rootcheck).,7,510
"Jun 16, 2025 @ 09:29:25.071",hera2,Host-based anomaly detection event (rootcheck).,7,510
